Amar'e Stoudemire,Steve Nash,0,90
Russell Westbrook,Paul George,0,90
Russell Westbrook,James Harden,0,90
James Harden,Russell Westbrook,0,80
Tracy McGrady,Kobe Bryant,0,90
Tracy McGrady,Grant Hill,0,90
Tracy McGrady,Rudy Gay,0,90
Chris Paul,LeBron James,0,90
Chris Paul,Carmelo Anthony,0,90
Chris Paul,Dwyane Wade,0,90
Boris Diaw,Tony Parker,0,80
Boris Diaw,Tim Duncan,0,80
LeBron James,Ray Allen,0,100
Klay Thompson,Stephen Curry,0,90
Kristaps Porzingis,Luka Doncic,0,90
Marco Belinelli,Tony Parker,0,50
Marco Belinelli,Tim Duncan,0,55
Marco Belinelli,Danny Green,0,60
Luka Doncic,Dirk Nowitzki,0,90
Luka Doncic,Kristaps Porzingis,0,90
Luka Doncic,James Harden,0,80
Tony Parker,Tim Duncan,0,95
Tony Parker,Manu Ginobili,0,95
Tony Parker,LaMarcus Aldridge,0,90
Danny Green,Marco Belinelli,0,83
Danny Green,Tim Duncan,0,70
Danny Green,LeBron James,0,80
Rudy Gay,LaMarcus Aldridge,0,70
LaMarcus Aldridge,Tony Parker,0,75
LaMarcus Aldridge,Tim Duncan,0,75
Tim Duncan,Tony Parker,0,95
Tim Duncan,Manu Ginobili,0,95
Ray Allen,Rajon Rondo,0,9
Tiago Splitter,Tim Duncan,0,80
Tiago Splitter,Manu Ginobili,0,90
Paul Gasol,Kobe Bryant,0,90
Paul Gasol,Marc Gasol,0,99
Aron Baynes,Tim Duncan,0,80
Vince Carter,Tracy McGrady,0,90
Vince Carter,Jason Kidd,0,70
Marc Gasol,Paul Gasol,0,99
Ben Simmons,Joel Embiid,0,80
Rajon Rondo,Ray Allen,0,-1
Manu Ginobili,Tim Duncan,0,90
Kyrie Irving,LeBron James,0,13
Carmelo Anthony,LeBron James,0,90
Carmelo Anthony,Chris Paul,0,90
Carmelo Anthony,Dwyane Wade,0,90
Dwyane Wade,LeBron James,0,90
Dwyane Wade,Chris Paul,0,90
Dwyane Wade,Carmelo Anthony,0,90
Joel Embiid,Ben Simmons,0,80
Damian Lillard,LaMarcus Aldridge,0,80
Yao Ming,Tracy McGrady,0,90
Yao Ming,Shaquile O'Neal,0,90
Dejounte Murray,Tim Duncan,0,99
Dejounte Murray,Tony Parker,0,99
Dejounte Murray,Manu Ginobili,0,99
Dejounte Murray,Marco Belinelli,0,99
Dejounte Murray,Danny Green,0,99
Dejounte Murray,LeBron James,0,99
Dejounte Murray,Russell Westbrook,0,99
Dejounte Murray,Chris Paul,0,99
Dejounte Murray,Kyle Anderson,0,99
Dejounte Murray,Kevin Durant,0,99
Dejounte Murray,James Harden,0,99
Dejounte Murray,Tony Parker,0,99
Blake Griffin,Chris Paul,0,-1
Steve Nash,Amar'e Stoudemire,0,90
Steve Nash,Dirk Nowitzki,0,88
Steve Nash,Stephen Curry,0,90
Steve Nash,Jason Kidd,0,85
Jason Kidd,Vince Carter,0,80
Jason Kidd,Steve Nash,0,90
Jason Kidd,Dirk Nowitzki,0,85
Dirk Nowitzki,Steve Nash,0,80
Dirk Nowitzki,Jason Kidd,0,80
Dirk Nowitzki,Dwyane Wade,0,10
Paul George,Russell Westbrook,0,95
Grant Hill,Tracy McGrady,0,90
Shaquile O'Neal,JaVale McGee,0,100
Shaquile O'Neal,Tim Duncan,0,80
